Site,Location,Session,MSE,PSNR,NMI,SSIM,SoftwareVersion,Temperature
137-0009,St Thomas,2023-06-19 16_41_59,0.0024223191274116,33.87393627716831,1.4733675283039684,0.9826781125097546,rc8.6.0,
137-0009,St Thomas,2023-06-19 16_41_59,0.0024222142550802,33.87412430549311,1.4733598711316889,0.9826783643596018,rc8.6.0,
137-0009,St Thomas,2023-06-21 09_56_57,0.002332520369528,33.92987952781479,1.474569815016621,0.9835192157928596,rc8.6.0,
137-0009,St Thomas,2023-06-21 09_56_57,0.002332407101559,33.930090427787846,1.4745756344888852,0.9835202238859208,rc8.6.0,
137-0009,St Thomas,2023-06-22 09_33_34,0.0023714996696782,33.894681348426026,1.4739633165723256,0.9830039086123622,rc8.6.0,
137-0009,St Thomas,2023-06-22 09_33_34,0.0023711186034688,33.895379253856326,1.473982304165796,0.9830035523673258,rc8.6.0,
137-0009,St Thomas,2023-06-23 09_45_31,0.0023447041335971,34.258311408034025,1.4785232457954982,0.9833414509102258,rc8.6.0,
137-0009,St Thomas,2023-06-23 09_45_31,0.002344667266541,34.25837969505011,1.478525046848602,0.9833417011257218,rc8.6.0,
137-0009,St Thomas,2023-06-26 11_40_09,0.0023781730907359,33.71225329107729,1.4715137479777656,0.983038699314228,rc8.6.0,
137-0009,St Thomas,2023-06-26 11_40_09,0.0023782753774015,33.71206650240619,1.4715097716032448,0.9830383946590144,rc8.6.0,
137-0009,St Thomas,2023-06-28 12_26_18,0.0023638717167419,34.45097200213831,1.4803632998614251,0.9830619225348992,rc8.6.0,
137-0009,St Thomas,2023-06-28 12_26_18,0.0023638127347424,34.45108036621032,1.4803679865707056,0.9830617185299084,rc8.6.0,
137-0009,St Thomas,2023-06-29 17_54_09,0.0023937483904648,34.31431026231967,1.478994887937734,0.9826472067294968,rc8.6.0,
137-0009,St Thomas,2023-06-29 17_54_09,0.0023937483904648,34.31431026231967,1.478994887937734,0.9826472067294968,rc8.6.0,
137-0009,St Thomas,2023-06-30 09_39_57,0.002367410107362,34.3825499970004,1.4799933077239351,0.9829224184926634,rc8.6.0,
137-0009,St Thomas,2023-06-30 09_39_57,0.002367410107362,34.3825499970004,1.4799933077239351,0.9829224184926634,rc8.6.0,
137-0009,St Thomas,2023-07-03 09_41_59,0.002442420867869,33.66770780655126,1.4708586764799414,0.9826082370659524,rc8.6.0,
137-0009,St Thomas,2023-07-03 09_41_59,0.002442420867869,33.66770780655126,1.4708586764799414,0.9826082370659524,rc8.6.0,
137-0009,St Thomas,2023-07-04 16_22_44,0.0023710969718553,34.01608131809629,1.47529116474343,0.9830868504602148,rc8.6.0,
137-0009,St Thomas,2023-07-04 16_22_44,0.0023710969718553,34.01608131809629,1.47529116474343,0.9830868504602148,rc8.6.0,
137-0009,St Thomas,2023-07-05 15_43_38,0.0023441644814176,33.84151711119562,1.4743847039144444,0.9825799195136398,rc8.6.0,
